"ensemble_id","steepness","steepness_prior_quantile","tag_mixing_period","tag_reporting_flag2","tag_reporting","m_age40_quarterly","lorenzen_log_intercept","m_prior_quantile","effort_creep_primary","effort_creep_secondary","effort_source_file","initialization","design_seed"
"ensemble-001",0.826021245685335,0.225,0.05,1,"exclusion",0.089866362628979,-2.40943157182651,0.696969696969697,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Diagnostic seed-23 path",20260802
"ensemble-002",0.848190160242251,0.325,0.2,0,"inclusion",0.122264559397685,-2.10156806244085,0.94949494949495,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Diagnostic seed-23 path",20260802
"ensemble-003",0.869753079504006,0.445,0.3,0,"inclusion",0.0789340728728952,-2.53914229551754,0.515151515151515,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Diagnostic seed-23 path",20260802
"ensemble-004",0.876268238679722,0.485,0.25,1,"exclusion",0.0632633547501614,-2.76044903136686,0.202020202020202,0.02,0.01,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.02-0.01.frq","Diagnostic seed-23 path",20260802
"ensemble-005",0.909968132665772,0.705,0.3,1,"exclusion",0.109114143421136,-2.21536075732131,0.888888888888889,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Diagnostic seed-23 path",20260802
"ensemble-006",0.781708091051952,0.095,0.15,0,"inclusion",0.0834188077327099,-2.48388148265892,0.595959595959596,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Diagnostic seed-23 path",20260802
"ensemble-007",0.871404880987095,0.455,0.15,0,"inclusion",0.0605487514687569,-2.80430642903449,0.151515151515152,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Diagnostic seed-23 path",20260802
"ensemble-008",0.927719077431941,0.815,0.25,1,"exclusion",0.0816851181950893,-2.50488344554273,0.565656565656566,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Diagnostic seed-23 path",20260802
"ensemble-009",0.764479796300167,0.065,0.1,0,"inclusion",0.0732795823026251,-2.61347325865127,0.404040404040404,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Diagnostic seed-23 path",20260802
"ensemble-010",0.874661383118216,0.475,0.25,0,"inclusion",0.107575809999768,-2.22955947065749,0.878787878787879,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Diagnostic seed-23 path",20260802
"ensemble-011",0.786447470575952,0.105,0.35,0,"inclusion",0.0768286653755764,-2.56617746139005,0.474747474747475,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Diagnostic seed-23 path",20260802
"ensemble-012",0.919387221669363,0.765,0.2,0,"inclusion",0.10480121545509,-2.25568990930854,0.858585858585859,0.015,0.0075,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.015-0.0075.frq","Diagnostic seed-23 path",20260802
"ensemble-013",0.88720842919169,0.555,0.35,1,"exclusion",0.0599812258941891,-2.81372366748752,0.141414141414141,0.005,0.0025,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.005-0.0025.frq","Diagnostic seed-23 path",20260802
"ensemble-014",0.950068051981146,0.925,0.2,1,"exclusion",0.0509515036309788,-2.97688100785527,0.0101010101010101,0.025,0.0125,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.025-0.0125.frq","Diagnostic seed-23 path",20260802
"ensemble-015",0.891782015878509,0.585,0.1,0,"inclusion",0.0800163298236842,-2.52552454234243,0.535353535353535,0.01,0.005,"bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.eff.creep.0.01-0.005.frq","Diagnostic seed-23 path",20260802
